intent,response,intent_special_chars,response_special_chars
Confirm High BP,"It looks like you're experiencing symptoms of high blood pressure. While this bot can provide general guidance, it’s important to consult a healthcare professional for an accurate diagnosis and proper treatment. Please reach out to your doctor as soon as possible.","['_', '_']",['’']
Cold Home Remedies,"1.Take a handful of sugar and heat it over a flame until it produces smoke. Close your eyes and inhale the smoke gently through your nose for relief.

2.Additionally, drinking warm milk with turmeric is beneficial. Lack of sleep can weaken immunity, so consuming honey and lemon juice can help. Drinking ginger tea is also a great remedy for boosting immunity and overall health.",['_'],[]
Diarrhea Naturopathy Remedies,"Grind tender pomegranate fruit or pomegranate flowers into a smooth paste. Add a pinch of edible camphor(pacha karpooram) to this paste, Form small balls(small size soap nut) from the mixture. Consuming these balls with buttermilk can help relieve diarrhea                                                                                                                       please do check the goodness in your body after taking this or if you feel any dis comfort please consult your doctor",['_'],"['(', ')', '(', ')']"
Confirm Mental Stress,"Mental stress can affect your thoughts, emotions, and overall well-being,To manage mental stress, try mindfulness, deep breathing, meditation, and taking breaks.if the symptoms are getting worse please professionals help which can beneficial","['_', '_']",[]
Welocme Intent,"Welcome to our MedicalBot, these are the service available in this bot.",['_'],[]
Cold Physical Activity,"Go jogging with natural and deep breathing, allowing yourself to inhale fresh air properly for about 20 minutes. After that, practice Surya Namaskar to help your body absorb more oxygen for an extended period. Finally, perform Pranayama only if needed to further enhance your breathing and overall well-being.","['_', '_']",[]
Confirm Tension Headache,"Tension headaches are the most common type of headache,To relieve it, try relaxation techniques, stay hydrated, get enough rest, and avoid stress triggers. If headaches persist frequently, consult a doctor","['_', '_']",[]
Cold,please check which services do you want for cold?,[],[]
Headache Symptom check,please check your head ache symptoms,"['_', '_']",[]
Hairfall Ayurvedi Remedie,"Take 1 cup of coconut milk, apply it to your scalp and all your hair, then cover your scalp with a warm towel. Wash it off. This should be done after a head bath",['_'],[]
Cough,Which type of services do you want for Cough?,[],[]
Vomitings Home Remedies,"Take equal amounts of ginger and onion, grind them into a paste, and filter it to extract the liquid. Consume this liquid every 2 hours and observe the result.",['_'],[]
Confirm Common Fever,"Fever is usually a sign that your body is fighting an infection, If the fever persists for more than 3 days or is very high, consult a doctor. Let me know if you need home remedies or care tips!","['_', '_']","['""']"
Constipation Ayurvedic Remedies,Eat Neem fruit and spit out the seeds. This helps with good bowel movements,['_'],[]
Confirm Malaria,It seem like malaria symptoms I would suggest you to please consult your doctor,['_'],[]
Cold Naturopathy Remedies,"Apply one drop of peppermint oil on each side of your nose. You can also use scented lemon or eucalyptus oils, or place one drop of honey in your nose. After 4 to 5 minutes, your cold will be relieved.",['_'],[]
Vomitings Remedies,Please let me know which type of remedies do you want?,['_'],[]
Vomitings Ayurvedic Remedies,"This remedie is useful for healing vomitings,Take equal amounts of cloves (lavangam), cumin seeds (jelakarra), cinnamon (dhalchinachakka), and cardamom. Add a little water and grind them into a paste. Mix this paste with honey and consume it for better health benefits.",['_'],"['(', ')', '(', ')', '(', ')']"
Confirm Dengue,"This symptoms looks like dengue fever,Dengue fever is a viral infection transmitted by mosquitoes,I it is very important to consult your doctor for good treatment",['_'],[]
Headache Symptom check,please check your head ache symptoms,"['_', '_']",[]
Confirm Sinus Headache,"A sinus headache occurs due to inflammation or congestion in the sinuses, often caused by infections, allergies, or cold weather,To relieve it, try steam inhalation, stay hydrated, use a warm compress, and avoid allergens. If symptoms persist or worsen, consult a doctor","['_', '_']",[]
Default Fallback Intent,I didn't get that. Can you repeat?,[],[]
Cold Ayurvedic Remedies,"Take fresh Tulasi leaves, grind them into a paste, and filter the extract using a cloth. Add one spoon of pepper powder to the extract and drink it with water in the morning and evening. Due to its antiviral properties, this remedy helps relieve cough and a sore throat",['_'],[]
BP symptom check,choose which type of symptom most relevent to you for bp,"['_', '_']",[]
BP remedies,Please let me know which type of BP remedies do you want?,['_'],[]
BP Home Remedies,"eat pomegranates which contains Polyphenols, Indian black berry which contains potassium needed for muscles , reduces cholesterol level and sugar level, include beetroot which contains nitrates which help High BP.",['_'],[]
Constipation Diet,"Fiber supports the microbiome :the healthy balance of bacteria in the digestive track so,eat fiber rich foods like apple,banana,greenleafy vegetables,whole grains cooked vegetables, aslo eat curd rice which contains good bacteria like Lactobacillus which supports gut health",['_'],[':']
BP Home Remedies,"eat pomegranates which contains Polyphenols, Indian black berry which contains potassium needed for muscles , reduces cholesterol level and sugar level, include beetroot which contains nitrates which help High BP.",['_'],[]
Confirm Malaria,It seem like malaria symptoms I would suggest you to please consult your doctor,['_'],[]
heatwaves Home Remedies,"1.glass of  buttermilk,A pinch of salt,1 teaspoon of sugar A few drops of lemon juice mix well which helps for  Preventing dehydration Soothes the stomach and  Balances electrolytes in body                                                                            
                                                                         2    

Take fresh ash gourd, cut it into pieces, and grind well to extract the juice. Filter it and take 15 to 20 ml of the juice, adding a little sugar for taste. Consume this 3 to 4 times a day to keep the body hydrated and protect against heat waves.",['_'],[]
Headache,let me know which type of services do you want?,[],[]
Constipation Ayurvedic Remedies,Eat Neem fruit and spit out the seeds. This helps with good bowel movements,['_'],[]
Diarrhea Remedies,Please let me know which type of remedies do you want?,['_'],[]
Cold  Remedies,Let me  know which type of remedies do you want?,['_'],[]
Constipation Home Remedies,"Take 5 grams of ginger and 5 grams of jaggery, grind them well, and eat this at night and drink some water which helps for constipation problem",['_'],[]
Confirm Gum Motions,this symptoms seems like gum motion please consult your doctor for further checkup,"['_', '_']",[]
Confirm Emotional Stress,"Emotional stress can impact both mental and physical well-being, To manage emotional stress, try relaxation techniques, meditation, deep breathing, and talking to a trusted person. If stress becomes overwhelming, consider seeking professional support","['_', '_']",[]
Vomitings Diet,"To support digestion and overall health, consume potassium-rich foods like bananas, fiber-rich foods, herbal teas, probiotics, and plain rice. Stay well-hydrated by drinking plenty of water and natural electrolytes such as coconut water",['_'],[]
Confirm Physical Stress,"Physical stress occurs when the body is overworked due to excessive physical activity,To manage physical stress, get enough rest, stay hydrated, eat a balanced diet, and practice relaxation techniques like stretching or deep breathing,If symptoms persist, consult a doctor","['_', '_']",[]
Constipation,which services do you want for Constipation?,[],[]
Cold,please check which services do you want for cold?,[],[]
Diarrhea Diet,"while you are suffering with loose motions it is good to keep body more hydrated so that drink water eventually with gaps low consumption, drink coconut water with which contains electrolytes some pleople want more so add electral  powder to it and drink and for solid food eat curd rice",['_'],[]
Constipation Medication,"TOPLAC (Lactulose Solution USP), Dose- 10gm/15ml, cause- Lactulose is used to treat constipation. It helps increase the number of bowel movements per day and the number of days on which bowel movements occur in patients with a history of chronic (long-lasting) constipation",['_'],"['(', ')', '/', '(', ')']"
Vomitings Naturopathy Remedies,"Take warm water mixed with salt and drink it quickly until your stomach feels full. This will induce vomiting within minutes, helping to relieve discomfort.",['_'],"['""', '""']"
Confirm Physical Stress,"Physical stress occurs when the body is overworked due to excessive physical activity,To manage physical stress, get enough rest, stay hydrated, eat a balanced diet, and practice relaxation techniques like stretching or deep breathing,If symptoms persist, consult a doctor","['_', '_']",[]
Stress,let me know which type of services do you want?,[],[]
Cough,Which type of services do you want for Cough?,[],[]
Constipation Remedies,Let me know which type of remedies do you want?,['_'],[]
Constipation Yoga,"It is good to practice Malasana, as it provides multiple health benefits, including improved digestion, flexibility, and better blood circulation",['_'],[]
Cold Diet,"Make sure to maintain good water intake and consume fluids like buttermilk and soups. Also, add fruits and vegetables such as broccoli, cranberries, and blueberries, along with green tea and red onions, to support your overall health.",['_'],[]
Hairfall Home Remedies,"Take onion paste and apply it to your scalp. Let it dry for half an hour, then take a head bath. This helps with hair growth, reduces hair fall, and improves blood circulation to the scalp",['_'],[]
Other Constipation Symptoms,"I cannot determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
Diarrhea Remedies,Please let me know which type of remedies do you want?,['_'],[]
Hairfall,Which type of services do you want for Hairfall?,[],[]
Hairfall Home Remedies,"Take onion paste and apply it to your scalp. Let it dry for half an hour, then take a head bath. This helps with hair growth, reduces hair fall, and improves blood circulation to the scalp",['_'],[]
Other Constipation Symptoms,"I cannot determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
Vomitings,please let me know which type of services do you want?,[],[]
Diarrhea Symptom Check,please check your symptoms do you have related to diarrhea,"['_', '_']",[]
Headache Naturopathy Remedies,drink more water which is up to 4 to 5 liters to get your body cool and some electrolytes like coconut water,['_'],[]
Headache Naturopathy Remedies,drink more water which is up to 4 to 5 liters to get your body cool and some electrolytes like coconut water,['_'],[]
heatwaves Ayurvedic Remedies,"Take equal amounts of Tippatiga (Balloon Vine) dried leaves, Usori Gavaravu (Gooseberry), and Parpatakam (Fumaria Indica) and grind them into a fine powder. Take 20 to 30 grams of this powder and add it to 4 glasses of water. Boil the mixture until it reduces to 1 glass,For best results, consume 2 to 3 tablespoons of the warm decoction morning and evening.",['_'],"['(', ')', '(', ')', '(', ')']"
Other Headache Symptoms,"Headaches can come with various symptoms depending on the type and cause,so if you feel any of other symptoms consult physician","['_', '_']",[]
Confirm Stress Symptoms,"Stress can affect both the mind and body, leading to symptoms like headaches, muscle tension, fatigue, irritability, trouble sleeping, difficulty concentrating, and digestive issues,                                                    Managing stress through relaxation techniques, exercise, and a balanced diet can help","['_', '_']",[]
Confirm Physical Stress,"Physical stress occurs when the body is overworked due to excessive physical activity,To manage physical stress, get enough rest, stay hydrated, eat a balanced diet, and practice relaxation techniques like stretching or deep breathing,If symptoms persist, consult a doctor","['_', '_']",[]
Confirm Stress Symptoms,"Stress can affect both the mind and body, leading to symptoms like headaches, muscle tension, fatigue, irritability, trouble sleeping, difficulty concentrating, and digestive issues,                                                    Managing stress through relaxation techniques, exercise, and a balanced diet can help","['_', '_']",[]
BP Ayurvedic Remedies,"Add garlic to your diet to help reduce high blood pressure. Fenugreek contains calcium, fiber, and helps reduce bad cholesterol. Dark chocolate also helps reduce hypertension. Eat bananas for a good potassium intake, which helps lower blood pressure",['_'],[]
Stress Home Remedie,take 3 to 4 Tulasi leaves chew and swallow reduces stress and pressure and improves the energy,['_'],[]
Other Cough Symptoms,"Cough can present with various symptoms depending on the underlying cause,I can't trigger symptoms what exactly you have so please consult the doctor for further treatment","['_', '_']",[]
Vomitings Remedies,Please let me know which type of remedies do you want?,['_'],[]
Vomitings Diet,"To support digestion and overall health, consume potassium-rich foods like bananas, fiber-rich foods, herbal teas, probiotics, and plain rice. Stay well-hydrated by drinking plenty of water and natural electrolytes such as coconut water",['_'],[]
Confirm Migraine,"Migraine is a neurological condition that causes intense headaches,To manage migraines, rest in a dark and quiet place, stay hydrated, and try relaxation techniques. If migraines occur frequently or are severe, consult a doctor for proper treatment.",['_'],[]
Constipation Symptom Check,please check your constipation symptoms,"['_', '_']",[]
Constipation Diet,"Fiber supports the microbiome :the healthy balance of bacteria in the digestive track so,eat fiber rich foods like apple,banana,greenleafy vegetables,whole grains cooked vegetables, aslo eat curd rice which contains good bacteria like Lactobacillus which supports gut health",['_'],[':']
Cold Diet,"Make sure to maintain good water intake and consume fluids like buttermilk and soups. Also, add fruits and vegetables such as broccoli, cranberries, and blueberries, along with green tea and red onions, to support your overall health.",['_'],[]
Constipation Remedies,Let me know which type of remedies do you want?,['_'],[]
Cough,Which type of services do you want for Cough?,[],[]
Confirm Sinus Headache,"A sinus headache occurs due to inflammation or congestion in the sinuses, often caused by infections, allergies, or cold weather,To relieve it, try steam inhalation, stay hydrated, use a warm compress, and avoid allergens. If symptoms persist or worsen, consult a doctor","['_', '_']",[]
Hairfall Yoga,"Adho Mukha Svanasana (Downward-Facing Dog), Uttanasana (Standing Forward Bend), Vajrasana (Diamond Pose), and Balayam yoga (rubbing fingernails) please do asanas by practice",['_'],"['(', ')', '(', ')', '(', ')', '(', ')']"
Other illeness Migraine,Mint leaves with hot water can helps to reduction of head ache(migraine) please check the severity and do accordingly,"['_', '_']","['(', ')']"
Confirm Typhoid,"Typhoid is a bacterial infection that can cause high fever, weakness, and digestive issues.  it's good to consult a doctor for proper diagnosis and treatment. Let me know if you need home remedies or diet tips",['_'],[]
Confirm Heat Waves,"Heat waves can cause extreme temperatures, leading to dehydration, heat exhaustion, and even heatstroke,,To stay safe, drink plenty of water, wear light clothing, avoid direct sun exposure. If you experience severe symptoms, seek medical attention immediately.","['_', '_']",[]
Constipation Remedies,Let me know which type of remedies do you want?,['_'],[]
Vomitings Naturopathy Remedies,"Take warm water mixed with salt and drink it quickly until your stomach feels full. This will induce vomiting within minutes, helping to relieve discomfort.",['_'],"['""', '""']"
Other Constipation Symptoms,"I cannot determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
Confirm Tension Headache,"Tension headaches are the most common type of headache,To relieve it, try relaxation techniques, stay hydrated, get enough rest, and avoid stress triggers. If headaches persist frequently, consult a doctor","['_', '_']",[]
Diarrhea Ayurvedic Remedies,"karakkaya(Haritaki),Thanikaya(Bibhitaki),Amla(Bibhitaki),kaachu(chandr chakra saaram) take all these into powder as 5grams and mix it with butter milk and drink this can help for loose,motions gum motions, and blood motions",['_'],"['(', ')', '(', ')', '(', ')', '(', ')']"
Constipation Medication,"TOPLAC (Lactulose Solution USP), Dose- 10gm/15ml, cause- Lactulose is used to treat constipation. It helps increase the number of bowel movements per day and the number of days on which bowel movements occur in patients with a history of chronic (long-lasting) constipation",['_'],"['(', ')', '/', '(', ')']"
Stress Symptom Check,please check  if you have any of the  stress symptoms,"['_', '_']",[]
Confirm Typhoid,"Typhoid is a bacterial infection that can cause high fever, weakness, and digestive issues.  it's good to consult a doctor for proper diagnosis and treatment. Let me know if you need home remedies or diet tips",['_'],[]
Confirm Dry Cough,"Dry cough, also known as a non-productive cough, is a common respiratory symptom that can be caused by various factors such as viral infections, allergies, environmental irritants, asthma, gastroesophageal diseases, and respiratory tract infections so please consult your doctor and poceed based on your symptoms","['_', '_']",[]
Confirm Stress Symptoms,"Stress can affect both the mind and body, leading to symptoms like headaches, muscle tension, fatigue, irritability, trouble sleeping, difficulty concentrating, and digestive issues,                                                    Managing stress through relaxation techniques, exercise, and a balanced diet can help","['_', '_']",[]
BP symptom check,choose which type of symptom most relevent to you for bp,"['_', '_']",[]
Cough Symptom Check,please check which type of symptoms do you have,"['_', '_']",[]
Constipation Symptom Check,please check your constipation symptoms,"['_', '_']",[]
Other Fever Symptoms,If you feel like some other symptoms with fever or any difficulty in your symptoms please consult your physician,"['_', '_']",[]
Stress,let me know which type of services do you want?,[],[]
Diarrhea Symptom Check,please check your symptoms do you have related to diarrhea,"['_', '_']",[]
Diarrhea Diet,"while you are suffering with loose motions it is good to keep body more hydrated so that drink water eventually with gaps low consumption, drink coconut water with which contains electrolytes some pleople want more so add electral  powder to it and drink and for solid food eat curd rice",['_'],[]
Diarrhea Ayurvedic Remedies,"karakkaya(Haritaki),Thanikaya(Bibhitaki),Amla(Bibhitaki),kaachu(chandr chakra saaram) take all these into powder as 5grams and mix it with butter milk and drink this can help for loose,motions gum motions, and blood motions",['_'],"['(', ')', '(', ')', '(', ')', '(', ')']"
Confirm High BP,"It looks like you're experiencing symptoms of high blood pressure. While this bot can provide general guidance, it’s important to consult a healthcare professional for an accurate diagnosis and proper treatment. Please reach out to your doctor as soon as possible.","['_', '_']",['’']
Diarrhea Medication,"LOPAMIDE (Lopamide hydrochloride tablets I.P.)  Dose-2mg cause-Lopamide Tablet is an anti-diarrhoeal medication. It works by slowing down the contraction of the intestines thereby decreasing the speed at which the contents pass through it. This allows more time for reabsorption of fluids and nutrients, making the stools more solid and less frequent.",['_'],"['(', ')']"
Cold  Remedies,Let me  know which type of remedies do you want?,['_'],[]
Cold Home Remedies,"1.Take a handful of sugar and heat it over a flame until it produces smoke. Close your eyes and inhale the smoke gently through your nose for relief.

2.Additionally, drinking warm milk with turmeric is beneficial. Lack of sleep can weaken immunity, so consuming honey and lemon juice can help. Drinking ginger tea is also a great remedy for boosting immunity and overall health.",['_'],[]
BP remedies,Please let me know which type of BP remedies do you want?,['_'],[]
Vomitings Medication,"Domperidone tablets I.P.   Dose-10mg Cause-Domperidone  10 MG Tablet is an effective anti-emetic medicine used to relieve nausea and vomiting caused by delayed gastric emptying (the time it takes for food to empty from the stomach and enter the small intestine). It increases intestinal movements and facilitates the emptying of the bowel. It is used alone or in combination with other medicines for relieving nausea, vomiting and indigestion   2.Domperidone syrup - Helps with nausea and vomiting caused by delayed stomach emptying.",['_'],"['(', ')']"
Other Headache Symptoms,"Headaches can come with various symptoms depending on the type and cause,so if you feel any of other symptoms consult physician","['_', '_']",[]
BP Home Remedies,"eat pomegranates which contains Polyphenols, Indian black berry which contains potassium needed for muscles , reduces cholesterol level and sugar level, include beetroot which contains nitrates which help High BP.",['_'],[]
Confirm Gum Motions,this symptoms seems like gum motion please consult your doctor for further checkup,"['_', '_']",[]
Confirm Dengue,"This symptoms looks like dengue fever,Dengue fever is a viral infection transmitted by mosquitoes,I it is very important to consult your doctor for good treatment",['_'],[]
Other Fever Symptoms,If you feel like some other symptoms with fever or any difficulty in your symptoms please consult your physician,"['_', '_']",[]
Cough,Which type of services do you want for Cough?,[],[]
Fever Symptom Check,please choose the fever symptoms most relevant to you,"['_', '_']",[]
Confirm Cluster Headache,"Cluster headaches are extremely painful headaches that occur in cycles, usually affecting one side of the head, often around the eye,To manage symptoms, maintain a consistent sleep schedule, avoid known triggers, and practice relaxation techniques. If episodes are frequent or severe, consult a doctor for medical treatment.","['_', '_']",[]
BP Diet,BP Diet Information,['_'],[]
Other Cough Symptoms,"Cough can present with various symptoms depending on the underlying cause,I can't trigger symptoms what exactly you have so please consult the doctor for further treatment","['_', '_']",[]
Hairfall Naturopathy Remedies,"Take Drumstick leaves 2 cups,half cup curd,1/3cup amla powder make whole as paste and apply to your scalp and let it be half an hour and dhead bath,do this twice a week  which helps for mosturizing your scalp",['_'],['/']
Constipation Home Remedies,"Take 5 grams of ginger and 5 grams of jaggery, grind them well, and eat this at night and drink some water which helps for constipation problem",['_'],[]
Headache,let me know which type of services do you want?,[],[]
Vomitings,please let me know which type of services do you want?,[],[]
Hairfall Ayurvedi Remedie,"Take 1 cup of coconut milk, apply it to your scalp and all your hair, then cover your scalp with a warm towel. Wash it off. This should be done after a head bath",['_'],[]
Confirm Dengue,"This symptoms looks like dengue fever,Dengue fever is a viral infection transmitted by mosquitoes,I it is very important to consult your doctor for good treatment",['_'],[]
Fever remedies,may i know which type of remedies do you want,['_'],[]
BP Home Remedies,"eat pomegranates which contains Polyphenols, Indian black berry which contains potassium needed for muscles , reduces cholesterol level and sugar level, include beetroot which contains nitrates which help High BP.",['_'],[]
Vomitings Diet,"To support digestion and overall health, consume potassium-rich foods like bananas, fiber-rich foods, herbal teas, probiotics, and plain rice. Stay well-hydrated by drinking plenty of water and natural electrolytes such as coconut water",['_'],[]
Constipation Naturopathy Remedies,"waking up early in the morning, drink two glasses of warm water that was stored in a copper vessel the previous day while sitting in a malasana position. Then, eat a pinch of ginger sprinkled with rock salt.",['_'],[]
Confirm High BP,"It looks like you're experiencing symptoms of high blood pressure. While this bot can provide general guidance, it’s important to consult a healthcare professional for an accurate diagnosis and proper treatment. Please reach out to your doctor as soon as possible.","['_', '_']",['’']
Stress Home Remedie,take 3 to 4 Tulasi leaves chew and swallow reduces stress and pressure and improves the energy,['_'],[]
Vomitings Medication,"Domperidone tablets I.P.   Dose-10mg Cause-Domperidone  10 MG Tablet is an effective anti-emetic medicine used to relieve nausea and vomiting caused by delayed gastric emptying (the time it takes for food to empty from the stomach and enter the small intestine). It increases intestinal movements and facilitates the emptying of the bowel. It is used alone or in combination with other medicines for relieving nausea, vomiting and indigestion   2.Domperidone syrup - Helps with nausea and vomiting caused by delayed stomach emptying.",['_'],"['(', ')']"
Diarrhea Remedies,Please let me know which type of remedies do you want?,['_'],[]
Constipation Naturopathy Remedies,"waking up early in the morning, drink two glasses of warm water that was stored in a copper vessel the previous day while sitting in a malasana position. Then, eat a pinch of ginger sprinkled with rock salt.",['_'],[]
Confirm Stress Symptoms,"Stress can affect both the mind and body, leading to symptoms like headaches, muscle tension, fatigue, irritability, trouble sleeping, difficulty concentrating, and digestive issues,                                                    Managing stress through relaxation techniques, exercise, and a balanced diet can help","['_', '_']",[]
Diarrhea Home Remedies,"Take a pinch of sunnam (lime powder) and half a teaspoon of cumin seeds (jelakarra).Crush them together in your hand,Consume the mixture.After that, drink some warm water for gum motions",['_'],"['(', ')', '(', ')']"
Confirm Gum Motions,this symptoms seems like gum motion please consult your doctor for further checkup,"['_', '_']",[]
Cough Diet,This is an pasting technique which is for 2 to 3 by taking lemon and honey water with some addition coconut water as a diet with steam inhaling hot water bath after 2 to 3 days based on your sickness drink plenty of water at morning a nd then honey water up to your lunch  and then evening take good fruit meat with some boiled vegetables,['_'],[]
Stress,let me know which type of services do you want?,[],[]
BP symptom check,choose which type of symptom most relevent to you for bp,"['_', '_']",[]
Vomitings,please let me know which type of services do you want?,[],[]
Confirm Gum Motions,this symptoms seems like gum motion please consult your doctor for further checkup,"['_', '_']",[]
Confirm Emotional Stress,"Emotional stress can impact both mental and physical well-being, To manage emotional stress, try relaxation techniques, meditation, deep breathing, and talking to a trusted person. If stress becomes overwhelming, consider seeking professional support","['_', '_']",[]
heatwaves Diets,"Drink more water stored in a mud pot, as it has a natural cooling effect. Consume juices made from seasonal fruits. Eat curd rice and drink buttermilk, which are rich in probiotics. Include fruits like muskmelon and watermelon in your diet. Also, eat sabudana (sago) for better digestion and energy",['_'],"['(', ')']"
Hairfall,Which type of services do you want for Hairfall?,[],[]
Default Welcome Intent,Good day! What can I do for you today?,[],[]
Cold Home Remedies,"1.Take a handful of sugar and heat it over a flame until it produces smoke. Close your eyes and inhale the smoke gently through your nose for relief.

2.Additionally, drinking warm milk with turmeric is beneficial. Lack of sleep can weaken immunity, so consuming honey and lemon juice can help. Drinking ginger tea is also a great remedy for boosting immunity and overall health.",['_'],[]
BP medication,"CARDIGLOW-H40(Telmisartan and Hydrochlorothiazide Tablets IP) dose-40mg, Cause-  used to treat high blood pressure (hypertension).please check the medicine while using and consult your doctor",['_'],"['(', ')', '(', ')']"
Cough Symptom Check,please check which type of symptoms do you have,"['_', '_']",[]
Diarrhea Remedies,Please let me know which type of remedies do you want?,['_'],[]
Diarrhea Ayurvedic Remedies,"karakkaya(Haritaki),Thanikaya(Bibhitaki),Amla(Bibhitaki),kaachu(chandr chakra saaram) take all these into powder as 5grams and mix it with butter milk and drink this can help for loose,motions gum motions, and blood motions",['_'],"['(', ')', '(', ')', '(', ')', '(', ')']"
Cold,please check which services do you want for cold?,[],[]
Constipation Diet,"Fiber supports the microbiome :the healthy balance of bacteria in the digestive track so,eat fiber rich foods like apple,banana,greenleafy vegetables,whole grains cooked vegetables, aslo eat curd rice which contains good bacteria like Lactobacillus which supports gut health",['_'],[':']
Diarrhea Naturopathy Remedies,"Grind tender pomegranate fruit or pomegranate flowers into a smooth paste. Add a pinch of edible camphor(pacha karpooram) to this paste, Form small balls(small size soap nut) from the mixture. Consuming these balls with buttermilk can help relieve diarrhea                                                                                                                       please do check the goodness in your body after taking this or if you feel any dis comfort please consult your doctor",['_'],"['(', ')', '(', ')']"
Hairfall Diet,"Eat iron rich foods like apricots,luttuce,eat more biotin rich foods like mushrooms 100 grams,panneer,flake seeds and leafy vegies like spring onions menthi, sunflower seeds non vegetarian food like liver,egg",['_'],[]
Cold,please check which services do you want for cold?,[],[]
Other illeness Migraine,Mint leaves with hot water can helps to reduction of head ache(migraine) please check the severity and do accordingly,"['_', '_']","['(', ')']"
Fever Symptom Check,please choose the fever symptoms most relevant to you,"['_', '_']",[]
Cold Symptom Check,could you please tell me which type of cold symptoms do you have?,"['_', '_']",[]
Constipation Medication,"TOPLAC (Lactulose Solution USP), Dose- 10gm/15ml, cause- Lactulose is used to treat constipation. It helps increase the number of bowel movements per day and the number of days on which bowel movements occur in patients with a history of chronic (long-lasting) constipation",['_'],"['(', ')', '/', '(', ')']"
Confirm Migraine,"Migraine is a neurological condition that causes intense headaches,To manage migraines, rest in a dark and quiet place, stay hydrated, and try relaxation techniques. If migraines occur frequently or are severe, consult a doctor for proper treatment.",['_'],[]
Confirm Gum Motions,this symptoms seems like gum motion please consult your doctor for further checkup,"['_', '_']",[]
BP Home Remedies,"eat pomegranates which contains Polyphenols, Indian black berry which contains potassium needed for muscles , reduces cholesterol level and sugar level, include beetroot which contains nitrates which help High BP.",['_'],[]
Other Constipation Symptoms,"I cannot determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
Other Cold Symptoms,"I'm here to provide general information, but I can't diagnose specific conditions or confirm if your symptoms indicate something more serious. If you're experiencing severe symptoms , or prolonged illness, it's best to consult a doctor for proper evaluation and treatment.","['_', '_']","['""']"
heatwaves,let me know which type of services do you want for heatwaves?,[],[]
Vomitings,please let me know which type of services do you want?,[],[]
Headache Remedies,let me know which type of remedies do you want?,['_'],[]
heatwaves Ayurvedic Remedies,"Take equal amounts of Tippatiga (Balloon Vine) dried leaves, Usori Gavaravu (Gooseberry), and Parpatakam (Fumaria Indica) and grind them into a fine powder. Take 20 to 30 grams of this powder and add it to 4 glasses of water. Boil the mixture until it reduces to 1 glass,For best results, consume 2 to 3 tablespoons of the warm decoction morning and evening.",['_'],"['(', ')', '(', ')', '(', ')']"
Confirm Typhoid,"Typhoid is a bacterial infection that can cause high fever, weakness, and digestive issues.  it's good to consult a doctor for proper diagnosis and treatment. Let me know if you need home remedies or diet tips",['_'],[]
Cough Diet,This is an pasting technique which is for 2 to 3 by taking lemon and honey water with some addition coconut water as a diet with steam inhaling hot water bath after 2 to 3 days based on your sickness drink plenty of water at morning a nd then honey water up to your lunch  and then evening take good fruit meat with some boiled vegetables,['_'],[]
Default Fallback Intent,"Sorry, can you say that again?",[],[]
Cough Home Remedies,"Take a small piece of ginger and mix it with Sindhav Lavana (rock salt). Chew the mixture slowly in your mouth. This remedy is highly effective in relieving dry cough.                                                                                                                      
                                                                                   or                                                                                                           
Take one spoon of ajwain (carom seeds), a small amount of salt, and one clove. Grind them into a fine powder. Chew and swallow this mixture to help relieve chronic cough effectively.",['_'],"['(', ')', '(', ')']"
Confirm Stress Symptoms,"Stress can affect both the mind and body, leading to symptoms like headaches, muscle tension, fatigue, irritability, trouble sleeping, difficulty concentrating, and digestive issues,                                                    Managing stress through relaxation techniques, exercise, and a balanced diet can help","['_', '_']",[]
Confirm Emotional Stress,"Emotional stress can impact both mental and physical well-being, To manage emotional stress, try relaxation techniques, meditation, deep breathing, and talking to a trusted person. If stress becomes overwhelming, consider seeking professional support","['_', '_']",[]
Default Fallback Intent,"Sorry, I didn't get that. Can you rephrase?",[],[]
Headache  Ayurvedic Remedies,Take a handful of coriander seeds (dhaniyalu) and mix them with a little water to make a thick paste. Apply this paste to the affected area (maadu),['_'],"['(', ')', '(', ')']"
Hairfall Yoga,"Adho Mukha Svanasana (Downward-Facing Dog), Uttanasana (Standing Forward Bend), Vajrasana (Diamond Pose), and Balayam yoga (rubbing fingernails) please do asanas by practice",['_'],"['(', ')', '(', ')', '(', ')', '(', ')']"
Vomitings Remedies,Please let me know which type of remedies do you want?,['_'],[]
Cough Medication,"MONADRYL cough syrup (Diphenhydramine Hydrochloride, Ammonium Chloride , Sodium Chloride, Sodium Citrate & Menthol Syrup) dose-200mg 100ml cause-this Syrup helps to loosen thick mucus and reduces its stickiness, making it easier to cough out. This makes it easier for air to move in and out. It will also relieve allergy symptoms like watery eyes, sneezing, runny nose or throat irritation and help you carry out your daily activities more easily.",['_'],"['(', '&', ')']"
Constipation Home Remedies,"Take 5 grams of ginger and 5 grams of jaggery, grind them well, and eat this at night and drink some water which helps for constipation problem",['_'],[]
